name		Dudley
	frame	data/chars/Dudley/at204.gif
	offset	42 104
	frame	data/chars/Dudley/at205.gif
	offset	42 106
	frame	data/chars/Dudley/at206.gif

anim	attack3
	sound	data/chars/Dudley/at3.wav
	hitfx	data/sounds/sf2h.wav
	hitflash	qflash2
	delay	3
	offset	42 73
	bbox	46 11 52 62
	frame	data/chars/Dudley/at400.gif
	offset	42 77
	frame	data/chars/Dudley/at401.gif
	offset	42 76
	frame	data/chars/Dudley/at402.gif
	offset	42 84
	bbox	61 3 46 82
	frame	data/chars/Dudley/at403.gif
	offset	42 89
	bbox	57 6 40 83
	frame	data/chars/Dudley/at404.gif
	offset	42 94
	Attack	94 17 40 36 16 1 0 0 20
	frame	data/chars/Dudley/at405.gif
	offset	42 115
	bbox	51 25 42 92
	Attack	92 1 42 88 16 1 0 0 22
	frame	data/chars/Dudley/at406.gif
	offset	42 122
	Attack	84 4 50 85 16 1 0 0 22
	frame	data/chars/Dudley/at407.gif
	delay	8
	offset	42 120
	Attack	0
	frame	data/chars/Dudley/at408.gif
	delay	5
	offset	42 116
	frame	data/chars/Dudley/at409.gif
	offset	42 95
	bbox	46 5 43 92
	frame	data/chars/Dudley/at410.gif
	offset	42 82
	bbox	39 6 47 74
	frame	data/chars/Dudley/at411.gif

anim	special
	hitfx	data/sounds/sf2h.wav
	hitflash	qflash
	energycost	0
	#@cmd	costSelf 50
	delay	3
	offset	50 97
	frame	data/chars/Dudley/sp607.gif
	#@cmd	dasher 3 0 0
	offset	50 92
	frame	data/chars/Dudley/sp608.gif
	frame	data/chars/Dudley/sp609.gif
	offset	50 99
	Attack	1 14 198 15 25 1 0 0 40
	frame	data/chars/Dudley/sp610.gif
	frame	data/chars/Dudley/sp611.gif
	Attack	3 12 159 20 25 1 0 0 40
	frame	data/chars/Dudley/sp612.gif
	#@cmd	dasher 1 0 0
	frame	data/chars/Dudley/sp613.gif
	#@cmd	stop
	Attack	0
	frame	data/chars/Dudley/sp614.gif
	frame	data/chars/Dudley/sp615.gif
	frame	data/chars/Dudley/sp616.gif
	frame	data/chars/Dudley/sp617.gif

anim	special2
	fastattack	1
	#@cmd	dasher 3 0 0
	delay	20
	offset	65 92
	bbox	57 9 40 85
	frame	data/chars/Dudley/sp300.gif
	#@cmd	dasher 1 0 0
	delay	10
	offset	39 85
	bbox	20 7 42 74
	frame	data/chars/Dudley/sp301.gif
	#@cmd	stop
	offset	39 81
	frame	data/chars/Dudley/sp302.gif
	delay	2
	offset	39 86
	frame	data/chars/Dudley/sp303.gif
	offset	37 97
	bbox	24 5 38 90
	frame	data/chars/Dudley/sp304.gif
	offset	34 105
	bbox	21 5 32 100
	frame	data/chars/Dudley/sp305.gif
	Attack	64 18 56 21 2
	frame	data/chars/Dudley/sp306.gif
	Attack	0
	frame	data/chars/Dudley/sp306.gif
	offset	33 105
	Attack2	53 13 58 28 3
	frame	data/chars/Dudley/sp307.gif
	Attack	0
	frame	data/chars/Dudley/sp307.gif
	Attack	64 7 52 40 3
	frame	data/chars/Dudley/sp308.gif
	Attack	0
	frame	data/chars/Dudley/sp308.gif
	Attack2	64 7 52 40 3
	offset	33 107
	frame	data/chars/Dudley/sp309.gif
	Attack	0
	frame	data/chars/Dudley/sp309.gif
	delay	5
	Attack	64 7 52 40 3
	offset	33 105
	frame	data/chars/Dudley/sp310.gif
	Attack	0
	frame	data/chars/Dudley/sp311.gif
	offset	33 106
	frame	data/chars/Dudley/sp312.gif
	sound	data/chars/Dudley/at2.wav
	offset	40 106
	frame	data/chars/Dudley/sp313.gif
	hitflash	qflash
	offset	39 95
	bbox	28 4 39 91
	Attack2	70 12 47 53 5 0 0 0 44
	frame	data/chars/Dudley/sp314.gif
	delay	20
	offset	39 107
	bbox	28 18 33 89
	Attack2	70 1 45 58 5 0 0 0 44
	frame	data/chars/Dudley/sp315.gif

anim	jumpland
	delay	5
	offset	45 102
	frame	data/chars/Dudley/get00.gif
	offset	46 87
	frame	data/chars/Dudley/get01.gif
	offset	45 102
	frame	data/chars/Dudley/get00.gif

anim	jumpdelay
	delay	7
	offset	46 87
	frame	data/chars/Dudley/get01.gif

anim	freespecial
	energycost	100
	#mponly	1
	hitfx	data/sounds/sf2h.wav
	Delay	4
	OffSet	42 86
	Frame	data\chars\dudley\sp400.gif
	OffSet	42 78
	Frame	data\chars\dudley\sp401.gif
	OffSet	42 74
	Frame	data\chars\dudley\sp402.gif
	#@cmd	spawn02 "flash3"
	#@cmd	spawn01 "flash4" 40 50 1
	OffSet	42 89
	Frame	data\chars\dudley\sp403.gif
	OffSet	42 100
	Frame	data\chars\dudley\sp404.gif
	hitflash	qflash2
	sound	data/chars/Dudley/1.wav
	dropv	1 0.8
	OffSet	42 101
	Attack3	74 20 38 54 20 1 0 0 50
	Frame	data\chars\dudley\sp405.gif
	Attack	0
	Frame	data\chars\dudley\sp405.gif
	move	30
	#@cmd	leaper 1 1.5 0
	OffSet	29 149
	Attack	26 3 48 115 8 1 0 0 20
	Frame	data\chars\dudley\sp406.gif
	move	0
	Attack	0
	Frame	data\chars\dudley\sp407.gif
	OffSet	34 148
	Attack3	26 3 48 115 8 1 0 0 20
	Frame	data\chars\dudley\sp408.gif
	OffSet	26 143
	Attack3	10 3 48 122 7 1 0 0 20
	Frame	data\chars\dudley\sp409.gif
	OffSet	22 142
	Frame	data\chars\dudley\sp410.gif
	OffSet	17 138
	Frame	data\chars\dudley\sp411.gif
	OffSet	22 143
	Frame	data\chars\dudley\sp412.gif
	OffSet	30 144
	Frame	data\chars\dudley\sp413.gif
	OffSet	33 122
	Attack	0
	Frame	data\chars\dudley\sp414.gif
	Delay	5
	OffSet	43 85
	Frame	data\chars\dudley\sp400.gif
	OffSet	42 78
	Frame	data\chars\dudley\sp401.gif
	OffSet	42 74
	Frame	data\chars\dudley\sp402.gif
	OffSet	42 89
	Frame	data\chars\dudley\sp403.gif
	OffSet	42 100
	Frame	data\chars\dudley\sp404.gif
	sound	data/chars/Dudley/2.wav
	dropv	1 1
	Delay	4
	OffSet	42 101
	Attack3	74 20 38 54 20 1 0 0 50
	Frame	data\chars\dudley\sp405.gif
	Attack	0
	Frame	data\chars\dudley\sp405.gif
	move	35
	#@cmd	leaper 1 1.8 0
	OffSet	28 149
	Attack3	26 3 48 115 8 1 0 0 20
	Frame	data\chars\dudley\sp406.gif
	move	0
	Attack	0
	Frame	data\chars\dudley\sp407.gif
	OffSet	32 148
	Attack3	26 3 48 115 8 1 0 0 20
	Frame	data\chars\dudley\sp408.gif
	OffSet	24 143
	Attack3	10 3 48 122 7 1 0 0 20
	Frame	data\chars\dudley\sp409.gif
	OffSet	22 142
	Frame	data\chars\dudley\sp410.gif
	OffSet	18 138
	Frame	data\chars\dudley\sp411.gif
	OffSet	20 144
	Frame	data\chars\dudley\sp412.gif
	OffSet	26 145
	Frame	data\chars\dudley\sp413.gif
	OffSet	28 123
	Attack	0
	Frame	data\chars\dudley\sp414.gif
	OffSet	42 86
	Frame	data\chars\dudley\sp400.gif
	OffSet	42 78
	Frame	data\chars\dudley\sp401.gif
	OffSet	42 74
	Frame	data\chars\dudley\sp402.gif
	OffSet	42 89
	Frame	data\chars\dudley\sp403.gif
	OffSet	42 100
	Frame	data\chars\dudley\sp404.gif
	sound	data/chars/Dudley/end.wav
	dropv	1 1
	OffSet	42 101
	Attack3	74 20 38 54 20 1 0 0 50
	Frame	data\chars\dudley\sp405.gif
	Attack	0
	Frame	data\chars\dudley\sp405.gif
	move	35
	#@cmd	leaper 2 3.5 0
	dropv	1 1
	OffSet	28 149
	Attack	26 3 48 115 8 1 0 0 20
	Frame	data\chars\dudley\sp406.gif
	move	0
	Attack	0
	Frame	data\chars\dudley\sp407.gif
	OffSet	33 148
	Attack3	26 3 48 115 8 1 0 0 20
	Frame	data\chars\dudley\sp408.gif
	OffSet	24 143
	Attack	10 3 48 122 7 1 0 0 20
	Frame	data\chars\dudley\sp409.gif
	OffSet	22 142
	Frame	data\chars\dudley\sp410.gif
	OffSet	15 138
	Frame	data\chars\dudley\sp411.gif
	OffSet	17 144
	Frame	data\chars\dudley\sp412.gif
	OffSet	20 145
	Frame	data\chars\dudley\sp413.gif
	OffSet	25 149
	Attack	0
	Frame	data\chars\dudley\sp407.gif
	OffSet	29 148
	Attack3	26 3 48 115 8 1 0 0 20
	Frame	data\chars\dudley\sp408.gif
	OffSet	22 144
	Attack	10 3 48 122 7 1 0 0 20
	Frame	data\chars\dudley\sp409.gif
	OffSet	23 142
	Frame	data\chars\dudley\sp410.gif
	OffSet	19 138
	Frame	data\chars\dudley\sp411.gif
	OffSet	22 144
	Frame	data\chars\dudley\sp412.gif
	OffSet	25 145
	Frame	data\chars\dudley\sp413.gif
	OffSet	23 125
	Attack	0
	Frame	data\chars\dudley\sp414.gif

anim	freespecial2
	landframe	29
	cancel	1 5 1 s freespecial
	hitfx	data/sounds/sf2h.wav
	#bbox	36 6 43 77
	Delay	3
	OffSet	42 86
	Frame	data\chars\dudley\sp400.gif
	#bbox	40 5 46 68
	OffSet	42 78
	Frame	data\chars\dudley\sp401.gif
	#bbox	55 8 42 59
	OffSet	42 74
	Frame	data\chars\dudley\sp402.gif
	#bbox	46 7 40 77
	OffSet	42 89
	Frame	data\chars\dudley\sp403.gif
	#bbox	48 0 38 98
	OffSet	42 100
	Frame	data\chars\dudley\sp404.gif
	hitflash	qflash
	sound	data/chars/Dudley/upper.wav
	OffSet	42 101
	Attack2	74 20 38 54 21 1 0 0 30
	Frame	data\chars\dudley\sp405.gif
	Attack	0
	Frame	data\chars\dudley\sp405.gif
	hitflash	flash
	move	30
	#@cmd	leaper 2 3.5 0
	dropv	1.5 1.5
	OffSet	33 149
	Attack3	25 2 51 99 8 1 0 0 20
	BBox	20 38 36 98
	Frame	data\chars\dudley\sp406.gif
	move	0
	Attack	0
	Frame	data\chars\dudley\sp407.gif
	dropv	2 2
	OffSet	36 148
	Attack	26 -1 46 98 5 1 0 0 20
	Frame	data\chars\dudley\sp408.gif
	OffSet	31 143
	Attack	0
	Frame	data\chars\dudley\sp409.gif
	OffSet	31 142
	BBox	14 34 31 95
	Frame	data\chars\dudley\sp410.gif
	OffSet	24 140
	Frame	data\chars\dudley\sp411.gif
	OffSet	25 145
	BBox	8 34 33 106
	Frame	data\chars\dudley\sp412.gif
	OffSet	34 145
	Attack	23 -1 48 96 3 1 0 0 15
	BBox	10 34 38 110
	Frame	data\chars\dudley\sp413.gif
	OffSet	33 149
	Frame	data\chars\dudley\sp407.gif
	OffSet	36 148
	Frame	data\chars\dudley\sp408.gif
	OffSet	31 143
	Attack	13 0 43 93 3 1 0 0 15
	Frame	data\chars\dudley\sp409.gif
	OffSet	31 142
	Frame	data\chars\dudley\sp410.gif
	OffSet	24 140
	Frame	data\chars\dudley\sp411.gif
	OffSet	25 145
	Frame	data\chars\dudley\sp412.gif
	OffSet	34 145
	Frame	data\chars\dudley\sp413.gif
	OffSet	33 149
	Frame	data\chars\dudley\sp407.gif
	OffSet	37 148
	Frame	data\chars\dudley\sp408.gif
	OffSet	31 143
	Attack	13 0 43 93 3 1 0 0 15
	Frame	data\chars\dudley\sp409.gif
	OffSet	31 142
	Attack	0
	Frame	data\chars\dudley\sp410.gif
	OffSet	24 140
	Frame	data\chars\dudley\sp411.gif
	OffSet	25 145
	Frame	data\chars\dudley\sp412.gif
	OffSet	34 145
	Frame	data\chars\dudley\sp413.gif
	Delay	7
	OffSet	34 128
	BBox	17 29 33 97
	Frame	data\chars\dudley\sp414.gif
	OffSet	45 102
	BBox	33 6 40 102
	Frame	data\chars\dudley\get00.gif
	OffSet	46 87
	BBox	28 6 54 85
	Frame	data\chars\dudley\get01.gif
	OffSet	45 102
	BBox	33 6 40 102
	Frame	data\chars\dudley\get00.gif

anim	freespecial4
	energycost	100
	#mponly	1
	#@CMD	dasher 3 0 0
