name	sspirit
anim death
	landframe	4
	loop	0
	delay	13
	offset	89 100
	frame	data/chars/sspirit/fall1.gif
	offset	71 104
	frame	data/chars/sspirit/fall2.gif
	offset	67 66
	delay	1000
	frame	data/chars/sspirit/fall3.gif
	offset	70 39
	delay	20
	frame	data/chars/sspirit/fall4.gif
	frame	data/chars/sspirit/fall4.gif


anim rise
	loop	0
	delay	4
	offset	92 105
	bbox	36 2 75 100
	frame	data/chars/sspirit/pain1.gif

anim riseattack
	range	0 75
	loop	0
	delay	7
	offset	87 120
	bbox	50 20 75 100
	frame	data/chars/sspirit/atk1.gif
	offset	79 124
	frame	data/chars/sspirit/atk2.gif
	offset	70 126
	attack	82 60 75 54 10 0 0 0 14
	frame	data/chars/sspirit/atk3.gif
	offset	73 123
	frame	data/chars/sspirit/atk4.gif
	attack	0 0 0 0 0 0
	offset	72 118
	frame	data/chars/sspirit/atk5.gif
	offset	75 121
	attack	88 63 79 55 20 1 0 0 28
	frame	data/chars/sspirit/atk6.gif
	offset	73 117
	frame	data/chars/sspirit/atk7.gif
	attack	0 0 0 0 0 0


anim attack1
	range	0 75
	loop	0
	delay	7
	offset	87 120
	bbox	50 20 75 100
	frame	data/chars/sspirit/atk1.gif
	offset	79 124
	frame	data/chars/sspirit/atk2.gif
	offset	70 126
	attack	82 60 75 54 10 0 0 0 14
	frame	data/chars/sspirit/atk3.gif
	offset	73 123
	frame	data/chars/sspirit/atk4.gif
	attack	0 0 0 0 0 0
	offset	72 118
	frame	data/chars/sspirit/atk5.gif
	offset	75 121
	attack	88 63 79 55 20 1 0 0 28
	frame	data/chars/sspirit/atk6.gif
	offset	73 117
	frame	data/chars/sspirit/atk7.gif
	attack	0 0 0 0 0 0


anim special
	range	215 400
	loop	0
	delay	15
	throwframe	2
	offset	75 105
	bbox	42 14 75 100
	frame	data/chars/sspirit/spec1.gif
	offset	80 103
	frame	data/chars/sspirit/spec2.gif
	offset	92 117
	frame	data/chars/sspirit/spec3.gif


anim attack2
	range	76 108
	loop	0
	delay	8
	offset	76 112
	bbox	48 10 75 100
	frame	data/chars/sspirit/2atk1.gif
	offset	75 117
	frame	data/chars/sspirit/2atk2.gif
	offset	107 119
	frame	data/chars/sspirit/2atk3.gif
	offset	96 116
	frame	data/chars/sspirit/2atk4.gif
	offset	73 115
	frame	data/chars/sspirit/2atk5.gif
	offset	76 116
	frame	data/chars/sspirit/2atk6.gif
	offset	78 118
	attack	68 68 108 108 25 1 0 0 28
	frame	data/chars/sspirit/2atk7.gif
	offset	76 116
	frame	data/chars/sspirit/2atk8.gif
	attack	0 0 0 0 0 0
	offset	76 112
	frame	data/chars/sspirit/2atk9.gif


