name lazuli
type player
health  100
	attack	-15 -10 106 138 15 0 1 0 0 0
	frame	data/chars/lazuli/special-4.png
	attack	-15 -10 106 138 15 0 0 1 0 0
	frame	data/chars/lazuli/special-5.png
	attack	-15 -10 106 138 15 0 1 0 0 0
	frame	data/chars/lazuli/special-4.png
	attack	-15 -10 106 138 15 0 0 1 0 0
	frame	data/chars/lazuli/special-5.png
	attack	-15 -10 106 138 15 0 1 0 0 0
	frame	data/chars/lazuli/special-4.png
	attack	-15 -10 106 138 15 0 0 1 0 0
	frame	data/chars/lazuli/special-5.png
	attack	-15 -10 106 138 15 0 1 0 0 0
	frame	data/chars/lazuli/special-4.png
	attack	-15 -10 106 138 15 0 0 1 0 0
	frame	data/chars/lazuli/special-5.png
	attack	-15 -10 106 138 15 0 1 0 0 0
	frame	data/chars/lazuli/special-4.png
	attack	-15 -10 106 138 15 0 0 1 0 0
	frame	data/chars/lazuli/special-5.png
		
anim	throw
	drawmethod	scale 0.95 0.95
	bbox	20 18 55 97
	offset	50 133
	frame	data/chars/lazuli/throw-1.png
	offset	50 133
	bbox	37 30 55 97
	frame	data/chars/lazuli/throw-2.png
	offset	53 131
	bbox	37 30 55 97
	frame	data/chars/lazuli/throw-3.png
	offset	59 131
	frame	data/chars/lazuli/throw-4.png
		
anim	walk
	drawmethod	scale 0.95 0.95
	drawmethod	flipx 1
	delay	10
	loop	1
	offset	43 114
	frame	data/chars/lazuli/walk-1.png
	bbox	0 0 0 0
	frame	data/chars/lazuli/walk-2.png
	bbox	24 4 41 102
	frame	data/chars/lazuli/walk-3.png
	frame	data/chars/lazuli/walk-4.png
	frame	data/chars/lazuli/walk-5.png
	frame	data/chars/lazuli/walk-4.png
	frame	data/chars/lazuli/walk-3.png
	frame	data/chars/lazuli/walk-2.png
		
#|edited by openBor Stats v 0.67
		
